Institution_Name,Branch_Name,Address,City,State,ZIP_Code,County_Name,County_FIPS_Code,Branch_ID,FDIC_ID,Total_Deposits_Millions,Est_Year,Geographic_Coordinates
"Bank of America, National Association",WESTERN-OLYMPIC BRANCH,3320 W Olympic Blvd,Los Angeles,CA,90019,Los Angeles,,197912,197912,,10/17/1904,
"Bank of America, National Association",MARTIN LUTHER KING JR. BRANCH,4103 S Western Ave,Los Angeles,CA,90062,Los Angeles,,197913,197913,,10/17/1904,
"Bank of America, National Association",EAST HOLLYWOOD BRANCH,4975 Melrose Ave,Los Angeles,CA,90029,Los Angeles,,197914,197914,,02/19/1927,
"Bank of America, National Association",WEST LOS ANGELES BRANCH,11501 Santa Monica Blvd,Los Angeles,CA,90025,Los Angeles,,197917,197917,,02/19/1927,
"Bank of America, National Association",WESTWOOD VILLAGE BRANCH,930 Westwood Blvd,Los Angeles,CA,90024,Los Angeles,,197918,197918,,06/20/1936,
"Bank of America, National Association",WHITTIER-SPENCE BRANCH,3475 Whittier Blvd,Los Angeles,CA,90023,Los Angeles,,197920,197920,,02/19/1927,
"Bank of America, National Association",WILSHIRE CENTER BRANCH,3442 Wilshire Blvd,Los Angeles,CA,90010,Los Angeles,,197922,197922,,11/03/1930,
"Bank of America, National Association",WILSHIRE-LA BREA BRANCH,5420 Wilshire Blvd,Los Angeles,CA,90036,Los Angeles,,197925,197925,,02/19/1927,
"Bank of America, National Association",BRENTWOOD DISTRICT BRANCH,11911 San Vicente Blvd,Los Angeles,CA,90049,Los Angeles,,197946,197946,,07/29/1960,
"Bank of America, National Association",WATTS BRANCH,10340 S Central Ave,Los Angeles,CA,90002,Los Angeles,,198485,198485,,07/30/1970,
"Bank of America, National Association",LOS ANGELES MAIN BRANCH,888 W 7th St,Los Angeles,CA,90017,Los Angeles,,198514,198514,,11/29/1971,
"Bank of America, National Association",LOS ANGELES CHINATOWN BRANCH,850 N Broadway,Los Angeles,CA,90012,Los Angeles,,198517,198517,,01/31/1972,
"Bank of America, National Association",MIDTOWN CENTER BRANCH,4649 Venice Blvd,Los Angeles,CA,90019,Los Angeles,,199046,199046,,11/01/1992,
"Wells Fargo Bank, National Association",BEVERLY-FAIRFAX BRANCH,137 N Fairfax Ave,Los Angeles,CA,90036,Los Angeles,,199394,199394,,10/05/1929,
"Wells Fargo Bank, National Association",LARCHMONT VILLAGE BRANCH,245 N Larchmont Blvd,Los Angeles,CA,90004,Los Angeles,,199400,199400,,04/01/1922,
"Wells Fargo Bank, National Association",PICO-SWALL DRIVE BRANCH,8901 W Pico Blvd,Los Angeles,CA,90035,Los Angeles,,199407,199407,,01/28/1928,
"Wells Fargo Bank, National Association",SUNSET-VERMONT BRANCH,1534 N Vermont Ave,Los Angeles,CA,90027,Los Angeles,,199416,199416,,04/26/1922,
"Wells Fargo Bank, National Association",LOS ANGELES MAIN BRANCH,333 S Grand Ave,Los Angeles,CA,90071,Los Angeles,,199668,199668,,09/27/1982,
"Wells Fargo Bank, National Association",MIRACLE MILE BRANCH,6301 Wilshire Blvd,Los Angeles,CA,90048,Los Angeles,,199939,199939,,12/19/1994,
"Wells Fargo Bank, National Association",WESTERN & WILSHIRE BRANCH,670 S Western Ave,Los Angeles,CA,90005,Los Angeles,,200403,200403,,10/12/1996,
"Wells Fargo Bank, National Association",MARKET & PRODUCE BRANCH,1244 E 8th St,Los Angeles,CA,90021,Los Angeles,,200479,200479,,06/23/1997,
